					max_d_1 	 mean_d_1 	 max_plane_d_1 	 mean_plane_d_1 	 max_d_2 	 mean_d_2 	 max_plane_d_2 	 mean_plane_d_2


data1
mean100_max0		1.026097 	 0.556894  	  0.277035    	    0.055748    	 1.026097 	 0.556894 	   0.277035 	   0.055748
mean90_max10		1.074606 	 0.555687  	  0.249487    	    0.056727    	 1.109937 	 0.552290 	   0.283478 	   0.058076
mean80_max20		1.106801 	 0.551825  	  0.263604    	    0.066417    	 1.067796 	 0.555401 	   0.291596 	   0.062638
mean75_max25		1.053011 	 0.585214  	  0.256471    	    0.077113    	 1.062379 	 0.570396 	   0.270266 	   0.066488
mean70_max30		1.092630 	 0.572319  	  0.285580    	    0.067332    	 1.053119 	 0.570734 	   0.242469 	   0.067572
mean60_max40		1.071779 	 0.573949  	  0.243009    	    0.084576    	 1.047107 	 0.572268 	   0.297160 	   0.071055
mean50_max50		1.108971 	 0.573724  	  0.449981    	    0.101505    	 1.055141 	 0.578323 	   0.254207 	   0.087508
mean40_max60		1.064494 	 0.577811  	  0.311812    	    0.091531    	 1.136485 	 0.576494 	   0.265650 	   0.079626
mean30_max70		1.127241 	 0.591492  	  0.244023    	    0.085748    	 1.047661 	 0.581506 	   0.298293 	   0.093398
mean20_max80		1.065191 	 0.585862  	  0.271992    	    0.085342    	 1.123073 	 0.555130 	   0.214548 	   0.066200
mean10_max90		1.068769 	 0.611576  	  0.388555    	    0.149505    	 1.119903 	 0.575784 	   0.270080 	   0.082563

data6
mean100_max0		1.041058 	 0.556077  	  0.266666    	    0.056151    	 1.031128 	 0.569384 	   0.350084 	   0.060917
mean90_max10		1.055014 	 0.565600  	  0.231902    	    0.063162    	 1.121429 	 0.565513 	   0.217006 	   0.063880
mean80_max20		1.060765 	 0.554652  	  0.249842    	    0.069511    	 1.074600 	 0.563010 	   0.259760 	   0.060398
mean75_max25		1.095406 	 0.607117  	  0.236895    	    0.071532    	 1.148137 	 0.573863 	   0.281467 	   0.068306
mean70_max30		1.138188 	 0.553484  	  0.306130    	    0.069140    	 1.050967 	 0.586189 	   0.359445 	   0.099730
mean60_max40		1.133363 	 0.595351  	  0.563280    	    0.113331    	 1.203062 	 0.589289 	   0.485750 	   0.128596
