117,30,46.661
116,30,46.66
115,30,46.659
114,30,46.658
113,30,46.657
112,30,46.656
111,30,46.654
110,30,46.653
109,30,46.65
108,30,46.643
107,30,46.634
106,30,46.626
105,30,46.618
98,29,46.4
97,29,46.385
96,29,46.369
95,29,46.354
94,29,46.338
93,29,46.323
92,29,46.308
91,29,46.287
90,29,46.265
83,28,45.897
82,28,45.82
81,28,45.709
80,28,45.583
73,27,44.25
72,27,44.014
71,27,43.751
64,26,41.348
58,25,38.595
52,24,35.058
48,23,32.609
44,22,30.463
40,21,28.566
37,20,27.296
34,19,26.135
31,18,25.075
26,16,23.49
21,14,22.115
19,13,21.671
17,12,21.275
15,11,20.911
13,10,20.588
7,6,19.533
3,3,18.55
2,3,18.406
2,4,18.634
2,5,18.861
2,6,19.088
2,7,19.316
2,8,19.545
3,15,21.338
3,16,21.579
3,17,21.82
4,24,23.686
5,31,25.594
6,38,27.536
7,44,29.24
8,51,31.217
9,57,32.913
10,63,34.607
11,69,36.267
12,75,37.868
13,80,39.081
14,86,40.503
15,91,41.561
16,96,42.523
17,101,43.406
18,105,44.021
19,109,44.582
20,114,45.133
21,118,45.391
22,123,45.532
23,128,45.218
24,134,44.187
25,139,42.486
26,144,40.462
27,147,38.918
28,150,37.448
29,152,36.32
31,155,34.598
32,156,33.979
33,157,33.393
34,158,32.878
35,159,32.394
36,160,31.961
37,161,31.57
38,162,31.252
39,163,30.891
40,164,30.579
41,165,30.362
42,166,30.129
43,167,29.861
44,168,29.592
45,169,29.323
46,170,29.04
47,171,28.72
48,172,28.399
49,173,28.078
50,174,27.718
51,175,27.34
52,176,26.963
57,183,23.655
58,185,22.505
59,186,21.915
60,187,21.315
62,188,20.739
65,189,20.194
66,189,20.24
67,189,20.285
68,189,20.331
69,189,20.377
70,189,20.423
71,189,20.469
72,189,20.514
73,189,20.558
80,190,20.187
81,190,20.275
82,190,20.404
83,190,20.558
84,190,20.735
85,190,20.921
86,190,21.159
87,190,21.434
88,190,21.717
89,190,22.06
90,190,22.415
91,190,22.804
92,190,23.247
93,190,23.696
94,190,24.215
95,190,24.744
96,190,25.308
97,190,25.946
104,189,31.871
105,189,32.515
106,189,33.103
107,189,33.661
108,189,34.167
109,189,34.644
116,188,37.743
117,188,37.924
118,188,37.924
118,187,38.633
118,186,39.326
118,185,40.018
118,184,40.686
118,183,41.316
118,182,41.884
118,181,42.454
118,180,43.025
118,179,43.596
118,178,44.15
118,177,44.653
118,176,45.114
118,175,45.559
118,174,46.02
118,173,46.481
118,172,46.941
118,171,47.349
118,170,47.734
118,169,48.098
118,168,48.462
118,167,48.825
118,166,49.176
118,165,49.508
118,164,49.805
118,163,50.088
118,162,50.369
118,161,50.649
118,160,50.93
118,159,51.21
118,158,51.458
118,157,51.693
118,156,51.898
118,155,52.095
118,154,52.302
118,153,52.509
118,152,52.717
118,151,52.924
118,150,53.11
118,149,53.264
118,148,53.416
118,147,53.558
118,146,53.701
118,145,53.844
118,144,53.987
118,143,54.111
118,142,54.231
118,141,54.33
118,140,54.416
118,139,54.502
118,138,54.588
118,137,54.674
118,136,54.759
