52,24,35.059
62,26,40.496
64,26,41.35
74,28,44.561
76,28,44.963
78,28,45.329
80,28,45.579
82,28,45.82
92,30,46.441
94,30,46.473
96,30,46.505
98,30,46.537
100,30,46.569
102,30,46.593
104,30,46.61
106,30,46.626
108,30,46.643
110,30,46.653
112,30,46.656
114,30,46.658
116,30,46.66
118,30,46.661
120,30,46.661
122,30,46.661
124,30,46.657
126,30,46.645
128,30,46.633
130,30,46.621
132,30,46.609
134,30,46.596
136,30,46.585
138,30,46.569
140,30,46.539
142,30,46.509
144,30,46.48
146,30,46.446
156,28,45.802
158,28,45.569
160,28,45.293
162,28,44.945
164,28,44.508
174,26,41.285
176,26,40.436
186,24,34.957
194,22,30.396
202,20,26.858
208,18,24.704
212,16,23.446
218,14,21.926
222,12,21.183
226,10,20.556
234,4,18.871
236,4,18.619
236,6,19.074
234,16,21.695
234,18,22.186
234,20,22.674
234,22,23.163
232,32,25.977
232,34,26.491
232,36,27.005
230,46,29.86
230,48,30.397
230,50,30.935
228,60,33.794
228,62,34.336
226,72,37.092
226,74,37.613
224,84,40.056
222,94,42.105
220,104,43.849
218,112,44.897
216,122,45.515
214,132,44.528
212,142,41.072
210,148,38.078
208,152,35.877
206,156,34.038
204,158,32.927
202,160,31.999
200,162,31.247
198,164,30.568
196,166,30.12
194,168,29.584
192,170,29.026
190,172,28.39
188,174,27.71
186,176,26.959
180,184,23.092
178,186,21.946
176,188,20.732
174,188,20.819
172,188,20.906
170,188,20.992
168,188,21.079
158,190,20.188
156,190,20.403
154,190,20.698
152,190,21.133
150,190,21.674
148,190,22.363
146,190,23.188
144,190,24.139
142,190,25.226
132,188,33.806
130,188,34.847
128,188,35.766
126,188,36.563
124,188,37.199
122,188,37.671
120,188,37.938
118,188,37.932
116,188,37.744
114,188,37.239
112,188,36.619
110,188,35.841
108,188,34.942
106,188,33.888
96,190,25.329
94,190,24.224
92,190,23.252
90,190,22.417
88,190,21.723
86,190,21.173
84,190,20.753
82,190,20.439
80,190,20.187
70,188,21.082
68,188,20.996
66,188,20.911
64,188,20.824
62,188,20.738
60,186,21.961
58,184,23.099
52,176,26.96
50,174,27.715
48,172,28.403
46,170,29.04
44,168,29.585
42,166,30.129
40,164,30.586
38,162,31.254
36,160,31.966
34,158,32.877
32,156,33.971
28,150,37.455
26,144,40.467
24,134,44.188
24,132,44.413
22,122,45.47
20,114,45.127
18,104,43.815
16,96,42.516
14,86,40.509
14,84,40.049
12,74,37.597
12,72,37.097
10,62,34.331
10,60,33.799
8,50,30.948
8,48,30.411
6,38,27.537
6,36,27.014
6,34,26.497
4,24,23.685
4,22,23.184
4,20,22.684
4,18,22.199
2,8,19.54
2,6,19.083
2,4,18.633
4,4,18.883
12,10,20.557
16,12,21.195
20,14,21.945
26,16,23.49
30,18,24.758
36,20,26.916
44,22,30.478
52,24,35.059
